player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
1043646,Christian Ordóñez,2004-07-24,21.0,Midfield,Central Midfield,right,177.0,Argentina,Parma Calcio 1913,6500000.0,7000000.0,28,1085,1,0,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046867,Jan Ziolkowski,2005-06-05,21.0,Defender,Centre-Back,right,194.0,Poland,Associazione Sportiva Roma,12000000.0,12000000.0,18,507,0,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058368,Francesco Camarda,2008-03-10,18.0,Attack,Centre-Forward,right,189.0,Italy,Unione Sportiva Lecce,15000000.0,15000000.0,33,890,1,0,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061282,Assane Diao,2005-09-07,20.0,Attack,Left Winger,right,185.0,Senegal,Calcio Como,30000000.0,30000000.0,32,2343,10,2,Ponta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061820,Lorenzo Venturino,2006-06-22,20.0,Attack,Right Winger,right,178.0,Italy,Associazione Sportiva Roma,5000000.0,5000000.0,17,384,2,0,Ponta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077175,Honest Ahanor,2008-02-23,18.0,Defender,Centre-Back,left,184.0,Italy,Atalanta Bergamasca Calcio S.p.a.,30000000.0,30000000.0,28,1645,0,1,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082774,Amorim,2005-05-18,21.0,Midfield,Central Midfield,right,177.0,Brazil,Genoa Cricket and Football Club,8000000.0,8000000.0,11,554,0,0,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112449,Tiago Gabriel,2004-12-26,21.0,Defender,Centre-Back,right,196.0,Portugal,Unione Sportiva Lecce,15000000.0,15000000.0,39,3314,2,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118347,Juan Arizala,2005-10-10,20.0,Midfield,Left Midfield,left,183.0,Colombia,Udinese Calcio,3500000.0,3500000.0,10,183,0,0,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129198,Eivind Helland,2005-04-25,21.0,Defender,Centre-Back,right,196.0,Norway,Bologna Football Club 1909,8000000.0,8000000.0,6,488,0,0,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
