player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
903693,Senny Mayulu,2006-05-17,20.0,Midfield,Central Midfield,both,183.0,France,Paris Saint-Germain Football Club,40000000.0,40000000.0,54,2805,6,7,Meia,Senny Mayulu,FRA,"MF,FW",19,2006,26,21,1672,18.6,4,4,8,4,0,0,3,0,0.22,0.22,0.43,0.22,0.43,4,35,11,31.4,1.88,0.59,0.11,0.36,0,0,3,0,0,24,20,1,27,12,31,,,0
912902,Guillaume Restes,2005-03-11,21.0,Goalkeeper,Goalkeeper,left,188.0,France,Toulouse Football Club,18000000.0,20000000.0,96,8545,0,1,Goleiro,Guillaume Restes,FRA,GK,20,2005,33,33,2939,32.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,3,0,0,0,8,0,0,1,0,,,0
914562,Désiré Doué,2005-06-03,21.0,Attack,Right Winger,right,181.0,France,Paris Saint-Germain Football Club,120000000.0,120000000.0,111,5825,20,20,Ponta,Désiré Doué,FRA,"FW,MF",20,2005,23,16,1348,15.0,7,4,11,7,0,1,0,0,0.47,0.27,0.73,0.47,0.73,7,55,19,34.5,3.67,1.27,0.13,0.37,0,1,0,0,0,24,28,0,56,12,20,,,0
917778,Rémy Labeau Lascary,2003-03-03,23.0,Attack,Centre-Forward,right,184.0,France,Stade brestois 29,4000000.0,4000000.0,48,1867,7,2,Centroavante,Rémy Labeau Lascary,GLP,"MF,FW",22,2003,27,12,1200,13.3,5,1,6,5,0,0,2,0,0.37,0.07,0.45,0.37,0.45,5,34,16,47.1,2.55,1.2,0.15,0.31,0,0,2,0,0,29,18,9,12,4,11,,,0
917817,Tom Pouilly,2003-06-18,23.0,Defender,Right-Back,right,180.0,France,Racing Club de Lens,,,10,271,0,0,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918969,Lamine Camara,2004-01-01,22.0,Midfield,Central Midfield,right,174.0,Senegal,Association sportive de Monaco Football Club,40000000.0,40000000.0,84,6182,6,15,Meia,Lamine Camara,SEN,MF,21,2004,24,22,1847,20.5,3,4,7,3,0,0,6,0,0.15,0.19,0.34,0.15,0.34,3,25,4,16.0,1.22,0.19,0.12,0.75,0,0,6,0,0,28,48,0,101,38,33,,,0
919620,Joseph Nduquidi,2004-10-25,21.0,Midfield,Central Midfield,,187.0,Angola,Football Club de Metz,800000.0,800000.0,13,749,0,0,Meia,Joseph Nduquidi,FRA,MF,20,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,0,0,0,0,0,0,1,0,0,,,0
920470,Tochukwu Nnadi,2003-06-30,23.0,Midfield,Defensive Midfield,right,176.0,Nigeria,Olympique de Marseille,4500000.0,4500000.0,8,353,0,1,Volante,Tochukwu Nnadi,NGA,"MF,DF",22,2003,8,4,351,3.9,0,1,1,0,0,0,1,0,0.0,0.26,0.26,0.0,0.26,0,4,1,25.0,1.03,0.26,0.0,0.0,0,0,1,0,0,10,4,1,6,3,3,,,0
926694,Arthur Vermeeren,2005-02-07,21.0,Midfield,Defensive Midfield,right,180.0,Belgium,Olympique de Marseille,20000000.0,30000000.0,20,823,0,1,Volante,Arthur Vermeeren,BEL,MF,20,2005,20,10,828,9.2,0,1,1,0,0,0,1,1,0.0,0.11,0.11,0.0,0.11,0,3,1,33.3,0.33,0.11,0.0,0.0,0,0,1,1,0,15,1,0,3,11,11,,,0
926978,Lucas Høgsberg,2006-06-23,20.0,Defender,Centre-Back,right,187.0,Denmark,Racing Club de Strasbourg Alsace,18000000.0,18000000.0,24,1798,0,0,Zagueiro,Lucas Høgsberg,DEN,DF,19,2006,24,21,1792,19.9,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0,4,1,25.0,0.2,0.05,0.0,0.0,0,0,4,1,1,16,13,1,0,13,9,,,0
