player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto
951579,Saël Kumbedi,2005-03-26,21.0,Defender,Right-Back,right,175.0,France,Verein für Leibesübungen Wolfsburg,12000000.0,12000000.0,24,1807,0,5,Lateral
955448,Tidiam Gomis,2006-08-08,19.0,Attack,Left Winger,right,183.0,France,RasenBallsport Leipzig,5000000.0,5000000.0,26,485,1,1,Ponta
977464,Arthur,2003-03-17,23.0,Defender,Right-Back,right,174.0,Brazil,Bayer 04 Leverkusen Fußball,8000000.0,8000000.0,42,2006,1,6,Lateral
997861,Kauã Santos,2003-04-11,23.0,Goalkeeper,Goalkeeper,right,196.0,Brazil,Eintracht Frankfurt Fußball AG,7000000.0,10000000.0,22,1850,0,0,Goleiro
1009440,Jan Bürger,2007-03-10,19.0,Defender,Right-Back,right,180.0,Germany,Verein für Leibesübungen Wolfsburg,3000000.0,3000000.0,7,246,0,0,Lateral
1035765,Ilyas Ansah,2004-11-08,21.0,Attack,Centre-Forward,right,197.0,Germany,1. Fußballclub Union Berlin,12000000.0,12000000.0,33,1903,5,3,Centroavante
1042472,Salim Musah,2006-02-22,20.0,Attack,Centre-Forward,right,198.0,Germany,Sportverein Werder Bremen von 1899,2000000.0,2000000.0,8,197,1,0,Centroavante
1058359,Samuele Inácio,2008-04-02,18.0,Attack,Second Striker,right,176.0,Italy,Borussia Dortmund,15000000.0,15000000.0,7,383,1,0,Centroavante
1058514,Montrell Culbreath,2007-08-29,18.0,Attack,Right Winger,right,172.0,Germany,Bayer 04 Leverkusen Fußball,15000000.0,15000000.0,12,740,1,0,Ponta
1058520,Otto Stange,2007-02-09,19.0,Attack,Centre-Forward,right,187.0,Germany,Hamburger Sport Verein,4000000.0,4000000.0,10,288,0,0,Centroavante
1067904,Bazoumana Touré,2006-03-02,20.0,Attack,Left Winger,left,178.0,Cote d'Ivoire,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,40000000.0,40000000.0,43,2935,5,15,Ponta
1070979,Wael Mohya,2008-12-31,17.0,Midfield,Attacking Midfield,both,179.0,Germany,Borussia Verein für Leibesübungen 1900 Mönchengladbach,17000000.0,17000000.0,15,549,2,1,Meia
1073748,Kacper Potulski,2007-10-19,18.0,Defender,Centre-Back,right,195.0,Poland,1. Fußball- und Sportverein Mainz 05,18000000.0,18000000.0,15,1060,1,1,Zagueiro
1074990,Luca Reggiani,2008-01-09,18.0,Defender,Centre-Back,right,194.0,Italy,Borussia Dortmund,10000000.0,10000000.0,8,513,1,0,Zagueiro
1075147,Lennart Karl,2008-02-22,18.0,Midfield,Attacking Midfield,left,168.0,Germany,FC Bayern München,60000000.0,60000000.0,26,1282,5,6,Meia
